287;646;1689;3
767;760;141;2
38;1025;1676;3
1554;1159;1903;2
1345;1887;1525;3
1955;1516;1837;1
551;860;1154;1
1369;1648;1493;3
947;220;9;1
45;1680;1001;2
608;1490;882;3
546;526;738;1
749;385;26;3
520;781;878;3
1393;1811;101;1
1760;327;237;3
1185;683;1514;3
1165;1681;1688;2
1136;1445;432;2
1296;1668;880;1
1436;367;82;3
1158;1201;1763;1
1641;1007;135;1
325;1026;811;2
642;203;1896;3
1528;82;494;1
1197;97;1718;3
1964;675;694;2
181;1723;959;1
69;1717;19;3
788;1145;1146;3
11;450;1661;3
1736;496;47;1
825;496;1234;2
765;569;1152;3
279;1807;49;2
426;1435;106;2
1909;753;1416;3
901;252;244;2
1025;849;1863;3
